,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
WR,0.8700436741290967,0.0,0.0
AP,0.19630704977536162,0.07441543389060512,5.84610843163461
B,0.18886209559998224,-0.4336142010850854,-0.2253522772202765
UR,0.14065586123720464,0.7091147278617431,0.9327296133000753
SP,0.11235905151272019,0.0,0.0
SF,0.10645671421970149,-0.08659664494870067,0.4144484576360985
PF,0.10453442657414902,0.14638970774420046,-0.05446981928942596
SS,0.1016147595165442,0.0,0.0
JM,0.09827135911768137,0.0,0.0
SC,0.09511296219364884,-0.19144067290788958,0.3520630444270554
LG,0.09032873609366798,-0.0045713813423488014,-0.00011458363172822672
SI,0.08081755739427354,-0.32752182134265095,0.37812849657030934
LU,0.07647607568304937,0.0,0.0
CF,0.06526337551978201,-0.1754145699639157,0.8499442571559579
EC,0.057106805452488585,0.0,0.0
A,0.0496453021096912,-0.5085734896122709,-0.634683252242627
PR,0.04839888467211462,0.0,0.0
PP,0.0439436787814389,-0.3938586160084151,-0.16748931578629223
RM,0.034669429971947885,0.30334538804514266,0.8341142412703357
AL,0.03190648409863006,-0.4978142467365627,0.9100773107807301
PB,0.031100689859138386,-0.16286261590872353,0.649010144913349
NI,0.027224623157109162,-0.5442767584883108,0.9133281881877526
C,0.013524028263882881,-0.3522642809136267,-0.6382103589823556
CY,0.010914680630920603,0.0,0.0
EB,0.00889725133417163,-0.468334130742567,-0.28020801617088953
JD,0.008675667313612356,-0.44930513871433664,-0.09792087273757655
L,0.008187330925010228,-0.6575622645904349,-0.40036131619343995
HC,0.006131842800991549,0.0,0.0
FG,0.004311410666376192,-0.20386453457218934,0.47815882195269976
SM,0.0035541992883845186,-0.2216784504695507,0.9366125985790161
AO,4.815491605447697e-05,0.038988328802100236,-0.17887589672701076
RI,0.0,0.0,0.0
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
LR,0.0,0.0,0.0
PM,0.0,0.0,0.0
PK,-0.0009508828004645142,0.4006529486515076,0.6925140296618191
RB,-0.00338524927438133,-0.41708268560035555,0.6404562860177316
LH,-0.004101078285867921,0.06851404732517175,-0.201006938484818
CS,-0.008900997700549973,-0.5424107786849773,-0.5384659336158504
M,-0.013180297745935432,0.021379252513668234,-0.4251019304186686
SA,-0.015837307038841897,0.02909910076591049,1.09631838654362
RS,-0.01627271404985675,0.0,0.0
RR,-0.016825683702138106,0.0,0.0
J,-0.019663261201335103,0.0,0.0
V,-0.024124622821760977,-0.4683791291317245,-0.7215898533842355
CU,-0.025161877102050312,-0.3944700853685693,0.7762573227851257
OI,-0.0283645087428821,-0.07832927276590818,1.0625157686798499
PG,-0.03697529293567359,-0.7348188461407468,-0.149260029908462
TA,-0.041719549301480474,0.5559276569609493,-0.1479328457601261
MA,-0.04368549030313884,-0.2030063972254985,0.5259794088953382
SH,-0.043990311200824195,2.3424867688354984,1.9619780955569373
Y,-0.05011875905252561,-0.8488247849157351,-0.4694414739924656
EG,-0.05547843454846635,-0.8294268361759803,-0.6499350421356049
BC,-0.05677344389859418,0.0,0.0
BU,-0.06787240396648075,0.0,0.0
FU,-0.07344998320830431,0.0,0.0
I,-0.07867465175012911,-0.6047632755873595,0.604942235136031
BR,-0.08613187456693194,-0.3763874150342731,0.2004127314608506
AG,-0.08754160138746181,-0.4275178406320229,0.5846660715024343
SN,-0.09031802250679266,-0.422458900232734,0.43191571192728806
RU,-0.09304327626025821,-0.40121494411609626,0.7849982218133427
CJ,-0.09793915538397169,-0.14982133977038792,0.1400322040024975
AU,-0.10199382942408708,-0.12751387080000876,0.25067918788119536
NR,-0.10380950504004449,0.0,0.0
LC,-0.10925440493395999,-0.26167649503462576,0.46838137765187393
P,-0.13540391696217824,-0.932362761268376,0.06580844449993672
PX,-0.13861230965926308,0.09838669820312784,0.028119928841063846
ZN,-0.1725822521176209,-0.5004896550129483,0.6535707951904801
FB,-0.17284675253059056,0.0,0.0
BB,-0.18645948945615987,0.0,0.0
SR,-0.20534699461653338,-0.42632430116427356,1.4902926347702183
