symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,82912.0,-9141.0,-38091.0,1780.0,121003.0,-10921.0
L,38506.0,-418.0,-30227.0,1003.0,68733.0,-1421.0
BU,40191.0,3912.0,-24125.0,935.0,64316.0,2977.0
MA,44580.0,10115.0,-18596.0,-453.0,63176.0,10568.0
FU,44651.0,-2600.0,-15627.0,-724.0,60278.0,-1876.0
AO,20021.0,3544.0,-20173.0,-2616.0,40194.0,6160.0
SR,35950.0,-19176.0,803.0,-74.0,35147.0,-19102.0
ZN,22917.0,-3209.0,-2526.0,758.0,25443.0,-3967.0
AU,30504.0,1630.0,5414.0,-251.0,25090.0,1881.0
AL,13251.0,-506.0,-6792.0,-570.0,20043.0,64.0
PF,3780.0,234.0,-6701.0,-1748.0,10481.0,1982.0
LU,7639.0,1775.0,31.0,27.0,7608.0,1748.0
AG,16404.0,566.0,11622.0,-232.0,4782.0,798.0
JD,6180.0,-2849.0,1463.0,289.0,4717.0,-3138.0
EC,1592.0,188.0,-2372.0,-364.0,3964.0,552.0
PR,3253.0,14.0,-359.0,0.0,3612.0,14.0
PG,2077.0,11.0,-1006.0,-33.0,3083.0,44.0
V,4327.0,8307.0,1946.0,-260.0,2381.0,8567.0
SH,1353.0,376.0,-462.0,336.0,1815.0,40.0
PB,1975.0,1548.0,324.0,844.0,1651.0,704.0
PX,-5344.0,-262.0,-5675.0,508.0,331.0,-770.0
SN,305.0,-277.0,230.0,92.0,75.0,-369.0
RS,1.0,1.0,-26.0,0.0,27.0,1.0
LC,-5600.0,492.0,-5061.0,826.0,-539.0,-334.0
CY,-827.0,34.0,-219.0,22.0,-608.0,12.0
NR,-5581.0,3332.0,-4487.0,889.0,-1094.0,2443.0
I,-3173.0,3428.0,804.0,14.0,-3977.0,3414.0
CU,-9130.0,-1410.0,-4735.0,70.0,-4395.0,-1480.0
LH,-2818.0,80.0,2014.0,-517.0,-4832.0,597.0
BR,-7380.0,1742.0,-1823.0,218.0,-5557.0,1524.0
EG,-8457.0,-1773.0,-2700.0,51.0,-5757.0,-1824.0
AP,-559.0,3555.0,6535.0,1595.0,-7094.0,1960.0
JM,530.0,-1497.0,8216.0,2214.0,-7686.0,-3711.0
SP,-1939.0,-445.0,7930.0,-173.0,-9869.0,-272.0
B,-3134.0,-727.0,7266.0,2221.0,-10400.0,-2948.0
SF,-8519.0,-9524.0,2389.0,813.0,-10908.0,-10337.0
CJ,-2753.0,-668.0,8607.0,-77.0,-11360.0,-591.0
EB,-13979.0,496.0,-569.0,95.0,-13410.0,401.0
NI,-5646.0,-1001.0,8268.0,1015.0,-13914.0,-2016.0
Y,-8427.0,-377.0,6047.0,-5559.0,-14474.0,5182.0
PP,-16311.0,-2460.0,1439.0,61.0,-17750.0,-2521.0
SS,-12313.0,2137.0,8334.0,432.0,-20647.0,1705.0
SI,-4626.0,-686.0,16236.0,-1027.0,-20862.0,341.0
A,-13959.0,-975.0,7501.0,4585.0,-21460.0,-5560.0
PK,-16453.0,1332.0,5197.0,-631.0,-21650.0,1963.0
CS,-11040.0,600.0,11338.0,1433.0,-22378.0,-833.0
CF,-17427.0,-10677.0,5089.0,2581.0,-22516.0,-13258.0
RU,-20966.0,-2097.0,1978.0,701.0,-22944.0,-2798.0
UR,-28922.0,-3271.0,6656.0,-1919.0,-35578.0,-1352.0
SM,-36718.0,102.0,4362.0,-136.0,-41080.0,238.0
FG,-1557.0,4638.0,41193.0,209.0,-42750.0,4429.0
OI,-29656.0,-11779.0,25157.0,2382.0,-54813.0,-14161.0
HC,-42787.0,-4916.0,20012.0,1632.0,-62799.0,-6548.0
TA,-58733.0,-4302.0,7455.0,-2686.0,-66188.0,-1616.0
M,-50406.0,-15593.0,15939.0,1337.0,-66345.0,-16930.0
C,-63092.0,9295.0,29029.0,1639.0,-92121.0,7656.0
SA,-127251.0,873.0,33903.0,2616.0,-161154.0,-1743.0
RM,-164700.0,-13802.0,71861.0,1651.0,-236561.0,-15453.0
RB,-163421.0,-40348.0,113914.0,13796.0,-277335.0,-54144.0
